vocabulary,frequency
excels,40198
apache,40197
thingputin,40196
rjoe,40195
benghazis,40194
rlindsey,40193
iraqpresident,40192
lite,40191
ustaxpayer,40190
nade,40189
ambassado,40188
mcchrystal,40187
yearshistoric,40186
pillsbury,40185
houlton,40184
unmistakably,40183
cns,40182
apnorc,40181
undetected,40180
elsisi,40179
albadawi,40178
jamal,40177
obtrusive,40176
glyptis,40175
sheriffs,40174
wallillegal,40173
fightdemocrats,40172
arre,40171
overdrive,40170
intransigence,40169
variation,40168
anticlimbing,40167
below,40166
kusinews,40165
usurpation,40164
congresswomanman,40163
militarize,40162
allegationsuggestion,40161
disunity,40160
volkswagen,40159
hamberders,40158
lawfully,40157
whe,40156
unempl,40155
deput,40154
offmike,40153
posttrump,40152
corke,40151
buzzfeednews,40150
schnurrezueri,40149
enforcmt,40148
specialcounsel,40147
fairnessafter,40146
leadup,40145
illegallybut,40144
newshourmarist,40143
nprpbs,40142
tps,40141
selfevident,40140
takebackthehouse,40139
slowest,40138
stranger,40137
maristnprpbs,40136
rudely,40135
sussmann,40134
hofr,40133
entersandman,40132
stoppable,40131
prerogative,40130
thorns,40129
dougwead,40128
lbj,40127
sharing,40126
stoltenberg,40125
jens,40124
dp,40123
txsecofstate,40122
kenpaxtontx,40121
holocaustmemorialdayr,40120
gillianhturner,40119
headwind,40118
waming,40117
windchill,40116
gofer,40115
madebig,40114
resolved,40113
secureourborder,40112
gou,40111
bestow,40110
rediscover,40109
dereliction,40108
dimension,40107
bernhardt,40106
nonevent,40105
recoverer,40104
legitimately,40103
prevailed,40102
roadblock,40101
dossierdoesn,40100
clintonlinked,40099
muderers,40098
snowman,40097
yearsoffailure,40096
counterprogram,40095
hooked,40094
shelby,40093
parameter,40092
planetepics,40091
canadians,40090
entir,40089
imbecile,40088
ounce,40087
mcsheriffs,40086
mjrcitieschiefs,40085
houstonchron,40084
obey,40083
circumvent,40082
voti,40081
infusion,40080
dilanian,40079
nicklauskids,40078
reborn,40077
bosswhispered,40076
bureaucratsangered,40075
tantamount,40074
shorten,40073
finishthewall,40072
muthana,40071
hoda,40070
lag,40069
jussiesmollett,40068
africanamericanhistorymonth,40067
soybe,40066
fidelis,40065
suribachisemper,40064
migopchair,40063
ronaldweiser,40062
explodedcbp,40061
char,40060
proposing,40059
hallberg,40058
reunited,40057
burch,40056
accomplishwe,40055
captive,40054
positi,40053
vietnamese,40052
disbar,40051
resuming,40050
hanoisummit,40049
disba,40048
phuc,40047
trong,40046
elmendorfrichardson,40045
lies,40044
misinterpret,40043
traunch,40042
rtn,40041
administrate,40040
rcale,40039
govivey,40038
nkfake,40037
unregistered,40036
mccathyism,40035
lauraingram,40034
westgatevegas,40033
forgottenr,40032
veterani,40031
awshucks,40030
jerrynadler,40029
unclejimbo,40028
spakovsky,40027
overbroad,40026
colossally,40025
longe,40024
punctuation,40023
contradicts,40022
substantiate,40021
onthejob,40020
apprenticeships,40019
sca,40018
scrutin,40017
rummage,40016
informantsstings,40015
medallion,40014
taxicab,40013
familywh,40012
dimms,40011
increasesthis,40010
highlightnonsupervisory,40009
iwd,40008
rejec,40007
aligns,40006
ohrsteelefusion,40005
bluegrass,40004
yum,40003
erect,40002
committeewatch,40001
bolst,40000
disparagingly,39999
timapple,39998
budgetthis,39997
willl,39996
ronnebeckwe,39995
rootgrant,39994
steinlesarah,39993
pipko,39992
dioxide,39991
greenpeace,39990
repsrdo,39989
rwo,39988
addicted,39987
harasser,39986
republicanappoin,39985
cuna,39984
yearearlier,39983
matching,39982
primeage,39981
publiclands,39980
thre,39979
revealed,39978
propel,39977
weapo,39976
letitia,39975
tabl,39974
infamous,39973
robertmueller,39972
conciliatory,39971
mexicothis,39970
denier,39969
loftus,39968
ardern,39967
jacinda,39966
louderback,39965
hodgson,39964
thumbs,39963
appoin,39962
investiga,39961
funnyno,39960
vigor,39959
platter,39958
uniformly,39957
superyayadize,39956
vmbb,39955
lonewolfnduke,39954
kingpin,39953
williamcraddick,39952
septemberoctober,39951
suffolkusa,39950
fastest,39949
overthinking,39948
kennedynation,39947
campusesr,39946
worlddownsyndromeday,39945
glimmer,39944
lucia,39943
loyalties,39942
russianaffiliated,39941
coordinated,39940
bmcnally,39939
hockeyhallfame,39938
keeperofthecup,39937
officewhat,39936
scottabc,39935
zacharyivanpor,39934
screwup,39933
unlawfully,39932
throug,39931
fulbright,39930
heathernauert,39929
eddiegallagher,39928
stephens,39927
foreignpolicy,39926
mainstay,39925
prewitch,39924
othershave,39923
awaited,39922
bega,39921
usable,39920
reaffirms,39919
healtcare,39918
corruptly,39917
repjerry,39916
httweets,39915
godlike,39914
cueto,39913
overcapacity,39912
asd,39911
carranza,39910
meaningfully,39909
magnificence,39908
workamerica,39907
nicolas,39906
undetermined,39905
trumpatrjc,39904
redeploy,39903
abduct,39902
kirstjen,39901
voteraise,39900
immoralillegals,39899
hemispherewalls,39898
iceborderless,39897
ussame,39896
newsmakers,39895
kidnapper,39894
baylor,39893
corrugated,39892
adversely,39891
congesswoman,39890
cert,39889
hardfought,39888
crosby,39887
tedlieu,39886
gregory,39885
legislating,39884
perhap,39883
unprec,39882
politicalelle,39881
securiy,39880
retry,39879
countrty,39878
citiesimmigration,39877
sizes,39876
discussedand,39875
instigate,39874
populist,39873
telecom,39872
nameno,39871
rebrand,39870
devil,39869
smiley,39868
formalize,39867
instuffed,39866
bethlehem,39865
gaslight,39864
dncthe,39863
clin,39862
learned,39861
jwprez,39860
jdawsey,39859
scottfantasy,39858
vindicated,39857
nastily,39856
divoire,39855
cte,39854
intr,39853
repcartwright,39852
nad,39851
lotta,39850
hotels,39849
sirisena,39848
maithripala,39847
wickremesinghe,39846
ranil,39845
an,39844
dojfbinsaciastate,39843
fbicia,39842
drudgefeed,39841
practic,39840
disreputable,39839
realization,39838
opportunityzones,39837
taxpayersrlo,39836
jobsra,39835
forgivenessthey,39834
knees,39833
namesover,39832
nationalautismawarenessmonth,39831
occasiocortez,39830
rxsummitr,39829
investigationcomey,39828
mysel,39827
upthe,39826
pennsylv,39825
jobsin,39824
ronnebeck,39823
agents,39822
terroist,39821
cheif,39820
nraam,39819
bosa,39818
responsibly,39817
indignation,39816
rrrgr,39815
chabad,39814
goldstein,39813
yisroel,39812
sicem,39811
baylorwbb,39810
incessantly,39809
highestlevel,39808
dpparadis,39807
icemantom,39806
firepac,39805
thekevinnash,39804
diblasio,39803
mitchraider,39802
peep,39801
inion,39800
jcoreybates,39799
firehouse,39798
gtto,39797
cwelliott,39796
jaloans,39795
bureaucrats,39794
quaglianojohn,39793
mscrosswi,39792
joellepalombo,39791
korryb,39790
danielscboone,39789
jeffreykstewart,39788
bobahide,39787
wargs,39786
jeffneely,39785
cmd,39784
boneszoom,39783
joanwil,39782
clintwelborn,39781
hikeamerica,39780
lisalimaaa,39779
kimberl,39778
curtisvincent,39777
rnor,39776
iffa,39775
broncolee,39774
eche,39773
mwcanterbury,39772
bradybbum,39771
vanhortonm,39770
chrisgogarty,39769
jcryptoseed,39768
firemanbrawls,39767
bluelivesmatter,39766
blinddog,39765
krobbio,39764
flamingoheels,39763
realdankida,39762
giamourizes,39761
harrypeterson,39760
candidat,39759
othersliberal,39758
kshaferus,39757
omastaskip,39756
retiree,39755
tedbartley,39754
thedjdaniel,39753
debbieb,39752
gruc,39751
biggeorgeaz,39750
proudtexanbrew,39749
tomlewi,39748
nomojoe,39747
scottbepler,39746
saulpavsr,39745
decommission,39744
aldresser,39743
nobarr,39742
michi,39741
adiosr,39740
disclosures,39739
lor,39738
judgme,39737
entangle,39736
kenvogel,39735
noninflationary,39734
wondrous,39733
prosperoussecure,39732
slovak,39731
pellegrini,39730
govpritzker,39729
tomfazios,39728
trumpgolfphilly,39727
platfo,39726
jeremydboreing,39725
thos,39724
talbertswan,39723
goodgreat,39722
himthey,39721
anshulblp,39720
thankafirefighter,39719
qualcomm,39718
lighten,39717
utahgop,39716
derekbrownutah,39715
kentuky,39714
borne,39713
untaxed,39712
stepping,39711
comeyesque,39710
campaignit,39709
cntr,39708
jerryfalwelljr,39707
stollen,39706
albence,39705
gazan,39704
trophyfor,39703
thankspresidenttrump,39702
womenfortru,39701
complet,39700
tshe,39699
pue,39698
pa,39697
reques,39696
bornaliveact,39695
pullback,39694
vicepremier,39693
rohio,39692
depreci,39691
workhorse,39690
usitc,39689
priceslower,39688
supplemental,39687
glyndon,39686
pric,39685
billshospitals,39684
sleepycreepy,39683
renege,39682
dncdem,39681
explanati,39680
wesupport,39679
politichatter,39678
usbpchief,39677
provost,39676
carla,39675
repository,39674
nationalemergency,39673
rmconservative,39672
obamaclintondnc,39671
highlands,39670
decli,39669
economymanufacturing,39668
johncatsjr,39667
riseo,39666
surveillancepoli,39665
truther,39664
jefflandry,39663
everythi,39662
mov,39661
cushy,39660
senatemajl,39659
jra,39658
micha,39657
jasondonner,39656
bradleybyrne,39655
ente,39654
prolifers,39653
theamgreatness,39652
texanc,39651
flesh,39650
spyin,39649
toon,39648
lisamei,39647
kne,39646
apparatushas,39645
committeethe,39644
unexpectedly,39643
hungary,39642
orban,39641
viktor,39640
watershed,39639
louisianabiggest,39638
lotte,39637
amputee,39636
hackberry,39635
sempra,39634
curetivity,39633
bdechambeau,39632
telease,39631
hombre,39630
scattershot,39629
realtor,39628
callmechari,39627
targeti,39626
reall,39625
incest,39624
justinamash,39623
penalties,39622
deutschebank,39621
batch,39620
heap,39619
venezuelans,39618
flyfightwin,39617
shahira,39616
wayso,39615
hardjames,39614
jtrumpin,39613
investigationhoping,39612
breakthru,39611
canadamexico,39610
trumpamb,39609
hearingmr,39608
muellerdossier,39607
footing,39606
boardtoday,39605
pseudoimpeachment,39604
forgiven,39603
unleashing,39602
doovers,39601
outprepared,39600
refinish,39599
usindia,39598
bjp,39597
flagsin,39596
longestablished,39595
aviberkow,39594
detangment,39593
ywls,39592
lisamariebooth,39591
timpf,39590
tyrus,39589
solider,39588
prescriptio,39587
americawe,39586
jokester,39585
declassifyin,39584
healthcarethat,39583
bidan,39582
welc,39581
skytree,39580
reiwa,39579
philmickelson,39578
chiba,39577
mobara,39576
asanoyama,39575
sumo,39574
kokugikan,39573
rygoku,39572
penske,39571
imperial,39570
akasaka,39569
ianbremmer,39568
naruhito,39567
japantimes,39566
ble,39565
loo,39564
usswasp,39563
rsnsrr,39562
roleread,39561
pinto,39560
homosexuality,39559
orientation,39558
ralphnortham,39557
nayibbukele,39556
financialissues,39555
frankl,39554
johnj,39553
johnjessupcbn,39552
faithnation,39551
peterbakernyt,39550
senjoemanchin,39549
markle,39548
simplistic,39547
butchery,39546
sadiqkhan,39545
nationa,39544
usstatevisi,39543
grenadier,39542
nijmegen,39541
wishers,39540
kensingtonroyal,39539
cambridge,39538
clarencehouse,39537
palac,39536
banquet,39535
guests,39534
usstatevisit,39533
thedukeofyork,39532
winfield,39531
usambuk,39530
gathered,39529
nechama,39528
reuven,39527
corrective,39526
darkest,39525
glowing,39524
ebrard,39523
backetball,39522
shoebiz,39521
endhivepidemic,39520
preventative,39519
prophylaxis,39518
preexposure,39517
stranglehold,39516
recordsdemocrats,39515
electiondemocrats,39514
mexicocavesaftertariffthrea,39513
mediadems,39512
illigal,39511
shockingl,39510
immigrati,39509
indycarr,39508
simonpagenaud,39507
ims,39506
bates,39505
damian,39504
sorial,39503
landmarks,39502
dagan,39501
farming,39500
yearround,39499
uspoland,39498
whatley,39497
properity,39496
issuance,39495
criteria,39494
permissable,39493
loco,39492
whale,39491
markwarnerva,39490
oman,39489
crimefree,39488
harp,39487
potusinjapanr,39486
armybday,39485
hrasbig,39484
ridiclious,39483
advisement,39482
lockheedmartin,39481
lockhead,39480
launders,39479
obamaclintonrussia,39478
judici,39477
slithers,39476
judicialwatc,39475
watergaterelated,39474
limpet,39473
unexploded,39472
houthis,39471
resurrect,39470
offbase,39469
polishamerican,39468
anyoneand,39467
workerspresi,39466
proposes,39465
lehighvalleylive,39464
counterprotester,39463
millennial,39462
centrum,39461
motley,39460
illicitly,39459
safethird,39458
guitar,39457
proportionate,39456
floridarr,39455
thriving,39454
dowhatwesaid,39453
publicprivatepartnership,39452
holcomb,39451
holcombforin,39450
ecb,39449
efp,39448
moh,39447
fallujah,39446
inactive,39445
keepam,39444
reauthorizatio,39443
communicat,39442
grisham,39441
sandersstephanie,39440
apprenticeship,39439
meganrapino,39438
mpinoe,39437
dax,39436
gosakasummitr,39435
borderdmz,39434
gosakasummit,39433
congratulated,39432
mofakr,39431
hellopolicy,39430
thebluehousekr,39429
patiencethey,39428
kazianis,39427
bludgeoning,39426
indemnify,39425
conspicuously,39424
zoldan,39423
waller,39422
refit,39421
bitten,39420
americathese,39419
theofficertatum,39418
temperatures,39417
trumpspeech,39416
deronrossi,39415
johndepetroshow,39414
rnlynn,39413
cel,39412
kaepernick,39411
busing,39410
mzhemingw,39409
regnery,39408
independ,39407
zoldon,39406
flyov,39405
rouse,39404
kameron,39403
courageou,39402
democratically,39401
cbpsouthtexas,39400
tessler,39399
salvageable,39398
reclamation,39397
segregationist,39396
exaggerate,39395
nbcmsnbc,39394
julythdc,39393
foist,39392
waywas,39391
doocy,39390
hrobak,39389
estuary,39388
tamimbinhamad,39387
hydromatic,39386
secon,39385
crossingsevery,39384
drgregmurphy,39383
hum,39382
jihadifailing,39381
godwilling,39380
alfredeneuman,39379
deutsche,39378
inhumane,39377
crypto,39376
volatile,39375
cryptocurrencies,39374
bitcoin,39373
dependability,39372
libra,39371
similarly,39370
dependable,39369
independenceday,39368
misse,39367
munro,39366
cgc,39365
whiteh,39364
jaytimmonsnam,39363
encouraging,39362
jonhusted,39361
infused,39360
ltgovhusted,39359
pachamber,39358
syste,39357
sperry,39356
ofa,39355
wakeupa,39354
texangalcindy,39353
socialmediasummitr,39352
jessie,39351
viewpoin,39350
lilagracerose,39349
robertbluey,39348
prageru,39347
implicat,39346
unplannedmovie,39345
tender,39344
graciously,39343
pizzella,39342
replaced,39341
bernadette,39340
derco,39339
victoy,39338
secu,39337
duffywisconsin,39336
usaidmarkgreen,39335
pennsyl,39334
trumpgolftune,39333
rtrdonald,39332
decriminalization,39331
dedi,39330
asiancarp,39329
interferenc,39328
handinhand,39327
clintonemailscandal,39326
reassure,39325
wmueller,39324
acknowledgment,39323
bitterly,39322
carriedunfee,39321
mhmarsh,39320
akita,39319
frm,39318
bamilan,39317
teamzachy,39316
dtvaneps,39315
marlowemacinty,39314
cuddlyanimal,39313
pattily,39312
bulb,39311
blondenevadan,39310
rikerjacqui,39309
kenpgentry,39308
bellavochi,39307
unbridled,39306
antiquated,39305
unrepresentative,39304
criminalization,39303
proterrorist,39302
msmaimie,39301
montanan,39300
bitterness,39299
shampoo,39298
